㑳,zhòu
切磋,qiēcuō
切磋琢磨,qiēcuōzhuómó
切線,qiēxiàn
切腳,qièjiǎo
切腹自殺,qiēfùzìshā
切除,qiēchú
切麵,qiēmiàn
刈,yì
刈蓍遺簪,yìshīyízēn
刉,jī
刊,kān
刌,cǔn
刎,wěn
刑,xíng
刑事調查,xíngshìdiàochá
刑辟,xíngpì
划,huá
划子,huázi
刓,wán
刖,yuè
列,liè
列傳,lièzhuàn
列女傳,liènǚzhuàn
列宿,lièxiù
列觀,lièguàn
列車,lièchē
列車員,lièchēyuán
列車長,lièchēzhǎng
列鼎重裀,lièdǐngchóngyīn
刜,fú
初,chū
初露鋒芒,chūlòufēngmáng
初露頭角,chūlòutóujiǎo
判,pàn
判官還講三分理,pànguānháijiǎngsānfēnlǐ
判押,pànyá
判處,pànchǔ
判酩酊,pànmíngdǐng
別,bié
別人的孩子死不完,biéréndeháizisǐbùwán
別人的肉偎不熱,biérénderòuwēibùrè
別傳,biézhuàn
別勁,biéjìn
別將,biéjiàng
別無長物,biéwúzhàngwù
別白,biébái
別腳,biéjiǎo
別調,biédiào
別頦腮,biékēsāi
別鶴,biéhè
別鶴孤鸞,biéhègūluán
別鶴操,biéhècāo
別鶴離鸞,biéhèlíluán
刨,páo
刨冰,bàobīng
刨冰機,bàobīngjī
刨花水,bàohuāshuǐ
利,lì
利子,lìzi
利樂,lìlè
利樂包,lìlèbāo
利率,lìlǜ
利率政策,lìlǜzhèngcè
利落,lìluo
利齒兒,lìchǐr
刪,shān
刮,guā
刮刮樂,guāguālè
刮削,guāxuè　（語音）guāxiāo
刮剌,guāla
刮喇,guālā
刮子,guāzi
刮舌子,guāshézi
刮著,guāzháo
刮鬍子,guāhúzi
到,dào
到三不著兩,dàosānbùzhuóliǎng
到不的,dàobùde
到差,dàochāi
刱,chuàng
刲,kuī
刳,kū
刳剝,kūbō
刵,èr
制,zhì
制導,zhìdǎo
制約反應,zhìyuēfǎnyìng
刷,shuā
刷子,shuāzi
刷白,shuàbái
刷選,shuàxuǎn
券,quàn
券帖,quàntiě
刺,cì
刺兒頭,cìr　tóu　(變)càr　tóu
刺參,cìshēn
刺柏,cìbó
刺溜,cìliū
刺激反應論,cìjīfǎnyìnglùn
刻,kè
刻削,kèxuè
刻剝,kèbō
刻畫無鹽,kèhuàwúyán
刻薄,kèbó
刻薄寡恩,kèbóguǎēn
剁,duò
剃,tì
剃頭挑子,tìtóutiāozi
剃頭擔子,tìtóudànzi
剃頭的碰到禿子,tìtóudepèngdàotūzi
剃髮鋪,tìfǎpù
剄,jǐng
則,zé
則麼,zéme
剉,cuò
削,（讀音）xuè
削價,xiāojià
削地,xuèdì
削壁,xuèbì
削奪,xuèduó
削平,xiāopíng
削弱,xuèruò
削成,xuèchéng
削方為圓,xuèfāngwéiyuán
削木為吏,xuèmùwéilì
削正,xuèzhèng
削減,xuèjiǎn
削牘,xuèdú
削球,xuèqiú
削瘦,xiāoshòu
削職,xuèzhí
削肩,xuèjiān
削色,xuèsè
削草,xuècǎo
削蔥,xuècōng
削觚為圓,xuègūwéiyuán
削足就履,xuèzújiùlǚ
削足適履,xuèzúshìlǚ
削趾適屨,xuèzhǐshìjù
削跡,xuèjī
削鐵如泥,xuètiěrúní
削除,xuèchú
削髮,xuèfǎ
削髮披緇,xuèfǎpīzī
削髮為僧,xuèfǎwéisēng
削麵,xiāomiàn
剋,kè
剋剝,kèbō
剌,là
剌剌塌塌,lálátātā
剌口子,lákǒuzi
剌子,làzi
剌心剌肝,láxīnlágān
前,qián
前人撒土迷了後人的眼,qiánrénsǎtǔmílehòuréndeyǎn
前兒,qiánr　(變)qiár
前兒個,qiánr　ge　(變)qiár　ge
前呼後應,qiánhūhòuyìng
前奏曲,qiánzòuqǔ
前導,qiándǎo
前後腳兒,qiánhòujiǎor
前朝,qiáncháo
前腳,qiánjiǎo
前車之鑑,qiánjūzhījiàn
前車之鑒,qiánjūzhījiàn
前車可鑒,qiánjūkějiàn
前途無量,qiántúwúliàng
前頭,qiántou
剎,chà
剎車,shāchē
剒,cuò
剔,tī
剔子,tīzi
剕,fèi
剖,pǒu
剖白,pǒubái
剖肝泣血,pǒugānqìxuè
剖豁,pǒuhuò
剗,chǎn
剗削,chǎnxuè
剗子箭,chǎnzijiàn
剗著,chǎnzháo
剚,zì
剛,gāng
剛口,gāngkou
剛子,gāngzi
剛褊自用,gāngbiǎnzìyòng
剛過門的小媳婦,gāngguòméndexiǎoxífu
剜,wān
剝,（讀音）bō
剝一層皮,bōyīcéngpí
剝削,bōxuè
剝削小民,bōxuèxiǎomín
剝削者,bōxuèzhě
剝剝,bōbō
剝剝啄啄,bōbozhuózhuó
剝啄,bōzhuó
剝奪,bōduó
剝挽,bōwǎn
剝極必復,bōjíbìfù
剝痛瘡,bōtòngchuāng
剝皮,bōpí
剝皮剉骨,bōpícuògǔ
剝皮剔骨,bōpítīgǔ
剝皮抽筋,bōpíchōujīn
剝盡,bōjìn
剝脫,bōtuō
剝膚,bōfū
剝膚椎髓,bōfūzhuīsuǐ
剝膚錐髓,bōfūzhuīsuǐ
剝船,bōchuán
剝落,bōluò
剝落斑殘,bōluòbāncán
剝蝕,bōshí
剝蝕作用,bōshízuòyòng
剝離,bōlí
剝離作用,bōlízuòyòng
剝面皮,bōmiànpí
剞,jī
剟,duó
剡,yǎn
剡溪,shànxī
剡牘,shàndú
剨,huò
剩,shèng
剩下,shèngxia
剩湯臘水兒,shèng　tāng　là　shuǐr　(變)shèng　tāng　là　shuěr
剩頭兒,shèngtóur
剪,jiǎn
剪子,jiǎnzi
剪子股,jiǎnzigǔ
剫,duó
剭,wū
剮,guǎ
副,fù
副將,fùjiàng
副曲,fùqǔ
副會長,fùhuìzhǎng
副睪丸,fùgāowán
副署,fùshù
副角,fùjué
副議長,fùyìzhǎng
副車,fùjū
割,gē
割切,gēqiē
割剝,gēbō
割腸子,gēchángzi
割貓兒尾拌貓兒飯,gēmāorwěibànmāorfàn
割靴子,gēxuēzi
割靴腰子,gēxuēyāozi
剴,kǎi
創,chuàng
創傷,chuāngshāng
創口,chuāngkǒu
創夷,chuāngyí
創意指導,chuàngyìzhǐdǎo
創意曲,chuàngyìqǔ
創痕,chuānghén
創痛,chuāngtòng
創鉅痛深,chuāngjùtòngshēn
創面,chuāngmiàn
剷,chǎn
剸,tuán
剸行,zhuānxíng
剺,lí
剽,piào
剽剝,piàobō
剿,jiǎo
劀,guā
劁,qiáo
劂,jué
劃,huà
劃拉,huála
劃然,huárán
劄,zhá
劄子,zházi
劇,jù
劇曲,jùqǔ
劈,pī
劈叉,pǐchā
劈地價來,pīdìgalái
劈拉,pǐla
劈拉著腿坐崖頭,pǐlazhetuǐzuòyáitóu
劈柴,pǐchai
劈腳跟,pījiǎogēn
劈著,pīzháo
劈角兒,pījiǎor
劈頭子,pītóuzi
劉,liú
劉九兒,liújiǔr
劉姥姥進大觀園,liúlǎolaojìndàguānyuán
劉白墮,liúbáiduò
劉知幾,liúzhījī
劉長卿,liúzhǎngqīng
劊,kuài
劊子手,kuàizishǒu
劌,guì
劍,jiàn
劐,huō
劑,jì
劑量,jìliàng
劓,yì
劖,chán
劘,mó
劙,lí
力,lì
力不勝任,lìbùshēngrèn
力不自勝,lìbùzìshēng
力巴,lìba
力巴兒,lìbar
力巴頭,lìbatóu
力把,lìba
力把兒頭,lìbartóu
力氣,lìqi
力氣活,lìqihuó
力盛,lìshèng
力薄才疏,lìbócáishū
力量,lìliang
力錢,lìqian
功,gōng
功同良相,gōngtóngliángxiàng
功墮垂成,gōnghuīchuíchéng
功夫,gōngfu
功微德薄,gōngwéidébó
功德無量,gōngdéwúliàng
功率,gōnglǜ
功率因數,gōnglǜyīnshù
功率比,gōnglǜbǐ
功率表,gōnglǜbiǎo
加,jiā
加勁,jiājìn
加勒比海共同市場,jiālèbǐhǎigòngtóngshìchǎng
加哩,jiālǐ
加快腳步,jiākuàijiǎobù
加把勁,jiābǎjìn
加楔兒,jiāxièr
加氯量,jiālǜliàng
加班車,jiābānchē
加碘食鹽,jiādiǎnshíyán
加菲貓,jiāfēimāo
加農炮,jiānóngpào
加速車道,jiāsùchēdào
加鹽兒,jiāyánr(變)jiāyár
劣,liè
劣怯,lièquè
劣把,lièba
劣把頭,lièbatóu
劣相,lièxiàng
劣行,lièxìng
劦,xié
助,zhù
助人為樂,zhùrénwéilè
助我張目,zhùwǒzhāngmù
助興,zhùxìng
助長,zhùzhǎng
努,nǔ
努勁兒,nǔ　jìnr　(變)nǔ　jièr
努著,nǔzhe
劫,jié
劫後英雄傳,jiéhòuyīngxióngzhuàn
劫難,jiénàn
劬,qú
劭,shào
劻,kuāng
劼,jié
劾,hé
勁,jìng
勁道十足,jìndàoshízú
勁頭,jìntóu
勃,bó
勃喇喇,bólālā
勇,yǒng
勇冠三軍,yǒngguànsānjūn
勇將,yǒngjiàng
勇氣百倍,yǒngqìbǎibèi
勉,miǎn
勉強,miǎnqiǎng
勍,qíng
勑,lài
勒,lè
勒住,lēizhù
勒子,lēizi
勒掯,lèkèn　（又音）lēiken
勒斃,lēibì
勒死,lēisǐ
勒緊,lēijǐn
勒緊褲帶,lēijǐnkùdài
勒里勒得,lēililēidé
動,dòng
動中窾要,dòngzhòngkuǎnyào
動勁,dòngjìn
動如參商,dòngrúshēnshāng
動彈,dòngtan
動彈不得,dòngtanbùdé
動手動腳,dòngshǒudòngjiǎo
動手腳,dòngshǒujiǎo
動物性蛋白質,dòngwùxìngdànbáizhí
動秤兒的,dòngchèngrde
動脈輸血,dòngmàishūxiě
動興,dòngxìng
勗,xù
勘,kān
務,wù
務腳,wùjiǎo
勛,xūn
勛伐,xūnfá
勝,shèng
勝任,shēngrèn
勝任愉快,shēngrènyúkuài
勝朝,shèngcháo
勝衣,shēngyī
勞,láo
勞什子,láoshízi
勞什骨子,láoshígǔzi
勞來,làolái
勞勞叨叨,láolaodāodāo
勞師,làoshī
勞怯,láoquè
勞累,láolèi
勞軍,làojūn
勞軍團,làojūntuán
募,mù
勢,shì
勢傾朝野,shìqīngcháoyě
勢利,shìli
勢利眼,shìliyǎn
勢利鬼,shìliguǐ
勢單力薄,shìdānlìbó
勣,jī
勤,qín
勤行,qínháng
勦,jiǎo
勦竊,chāoqiè
勦襲,chāoxí
勩,yì
勰,xié
勱,mài
勵,lì
勷,ráng
勸,quàn
勸導,quàndǎo
勸百諷一,quànbǎifèngyī
勸降,quànxiáng
勹,bāo
勺,sháo
勺子,sháozi
勻,yún
勻停,yúnting
勻兌,yúndui
勻實,yúnshi
勻淨,yúnjing
勻溜,yúnliu
勻稱,yúnchèng　（又音）yúnchèn
勾,gōu
勾勾搭搭,gōugoudādā
勾心鬥角,gōuxīndòujiǎo　（又音）gōuxīndòujué
勾拽,gōuzhuài
勾搭,gōuda
勾當,gòudāng
勿,wù
勿忘草,wùwàngcǎo
包,bāo
包伯利風衣,bāobólìfēngyī
包元兒,bāo　yuánr　(變)bāo　yuár
包兒,bāor
包占,bāozhàn
包圓兒,bāo　yuánr　(變)bāo　yuár
包在我身上,bāozàiwǒshēnshàng
包子,bāozi
包彈,bāotán
包括,bāokuò
包晶反應,bāojīngfǎnyìng
包析反應,bāoxīfǎnyìng
包涵兒,bāohánr(變)bāohar
包米棒子,bāomǐbàngzi
包紮,bāozā
包腳,bāojiǎo
包葫蘆頭,bāohúlutóu
包袱底兒,bāo　fú　dǐr　(變)bāo　fu　diěr
包車,bāochē
包頭的,bāotóude
包黑臉斷案子,bāohēiliǎnduànànzi
匆,cōng
匈,xiōng
匊,jú
匋,táo
匍,pú
匏,páo
匐,fú
匕,bǐ
化,huà
化子,huāzi
化學反應,huàxuéfǎnyìng
化學當量,huàxuédāngliàng
化鶴,huàhè
北,（語音）běi
北七真,běiqīzhēn
北上,běishàng
北上宣言,běishàngxuānyán
北九州,běijiǔzhōu
北二高,běièrgāo
北京,běijīng
北京之春,běijīngzhīchūn
北京人,běijīngrén
北京大學,běijīngdàxué
北京時間,běijīngshíjiān
北京條約,běijīngtiáoyuē
北京狗,běijīnggǒu
北京鴨,běijīngyā
北人,běirén
北伐,běifā
北俱盧洲,běijūlúzhōu
北冕座,běimiǎnzuò
北冥,běimíng
北劇,běijù
北區,běiqū
北半球,běibànqiú
北叟失馬,běisǒushīmǎ
北口,běikǒu
北口馬,běikǒumǎ
北史,běishǐ
北周,běizhōu
北回歸線,běihuíguīxiàn
北固山,běigùshān
北固樓,běigùlóu
北國,běiguó
北土,běitǔ
北圻,běiqí
北垂,běichuí
北埔鄉,běipǔxiāng
北堂,běitáng
北堂書鈔,běitángshūchāo
北塔山,běitǎshān
北夢瑣言,běimèngsuǒyán
北大,běidà
北大荒,běidàhuāng
北大西洋公約,běidàxīyánggōngyuē
北大西洋公約組織,běidàxīyánggōngyuēzǔzhī
北大西洋洋流,běidàxīyángyángliú
北大西洋航線,běidàxīyánghángxiàn
北學,běixué
北安市,běiānshì
北宋,běisòng
北宗,běizōng
北宗畫法,běizōnghuàfǎ
北宜公路,běiyígōnglù
北宮,běigōng
北宮黝,běigōngyǒu
北寒帶,běihándài
北寧鐵路,běiníngtiělù
北山,běishān
北山移文,běishānyíwén
北山羊,běishānyáng
北嶺,běilǐng
北嶽,běiyuè
北平圖書館,běipíngtúshūguǎn
北平市,běipíngshì
北平故宮,běipínggùgōng
北府,běifǔ
北庭,běitíng
北征,běizhēng
北戴河,běidàihé
北投,běitóu
北拳,běiquán
北斗,běidǒu
北斗七星,běidǒuqīxīng
北斗鎮,běidǒuzhèn
北方,běifāng
北方之強,běifāngzhīqiáng
北方人,běifāngrén
北方佛教,běifāngfójiào
北方大港,běifāngdàgǎng
北方戰爭,běifāngzhànzhēng
北方話,běifānghuà
北日耳曼聯盟,běirìěrmànliánméng
北曲,běiqǔ
北望,běiwàng
北朝,běicháo
北林,běilín
北極,běijí
北極光,běijíguāng
北極凍原,běijídòngyuán
北極圈,běijíquān
北極地區,běijídìqū
北極星,běijíxīng
北極星飛彈,běijíxīngfēidàn
北極熊,běijíxióng
北極犬,běijíquǎn
北極狐,běijíhú
北極鋒,běijífēng
北極鯨,běijíjīng
北歌,běigē
北歐,běiōu
北河,běihé
北洋,běiyáng
北洋大臣,běiyángdàchén
北洋機器局,běiyángjīqìjú
北洋武備學堂,běiyángwǔbèixuétáng
北洋水師學堂,běiyángshuǐshīxuétáng
北洋海軍,běiyánghǎijūn
北洋航線,běiyánghángxiàn
北洋軍閥,běiyángjūnfá
北海,běihǎi
北海公園,běihǎigōngyuán
北海岸,běihǎiàn
北海油礦,běihǎiyóukuàng
北涼,běiliáng
北港媽祖廟,běigǎngmāzǔmiào
北港鎮,běigǎngzhèn
北溫帶,běiwēndài
北滿洲,běimǎnzhōu
北漢,běihàn
北漸,běijiàn
北燕,běiyān
北狄,běidí
北直隸,běizhílì
北省,běishěng
北碑,běibēi
北碑南帖論,běibēinántiělùn
北碚,běibèi
北票,běipiào
北窗高臥,běichuānggāowò
北管,běiguǎn
北管戲,běiguǎnxì
北緯,běiwěi
北美事務協調委員會,běiměishìwùxiétiáowěiyuánhuì
北美狼,běiměiláng
北美草原地帶,běiměicǎoyuándìdài
北聲,běishēng
北芒,běimáng
北苑茶,běiyuànchá
北討,běitǎo
北詞廣正譜,běicíguǎngzhèngpǔ
北貨,běihuò
北赤道海流,běichìdàohǎiliú
北路梆子,běilùbāngzi
北轅適楚,běiyuánshìchǔ
北轍南轅,běichènányuán
北辰,běichén
北迴歸線,běihuíguīxiàn
北迴鐵路,běihuítiělù
北運河,běiyùnhé
北道,běidào
北道主人,běidàozhǔrén
北邊,běibiān
北邙,běimáng
北邙山,běimángshān
北邙鄉女,běimángxiāngnǚ
北部,běibù
北部地方,běibùdìfāng
北部橫貫公路,běibùhéngguàngōnglù
北部濱海公路,běibùbīnhǎigōnglù
北鄙,běibǐ
北里,běilǐ
北門,běimén
北門之歎,běiménzhītàn
北門學士,běiménxuéshì
北門鎖鑰,běiménsuǒyào
北闕,běiquè
北非,běifēi
北非諜影,běifēidiéyǐng
北面,běimiàn
北面稱臣,běimiànchēngchén
北韓,běihán
北音,běiyīn
北風,běifēng
北食,běishí
北首,běishǒu
北魏,běiwèi
北魏孝文帝,běiwèixiàowéndì
北齊,běiqí
北齊書,běiqíshū
匙,chí
匙子,chízi
匙鑰,shiyào
匚,fāng
匜,yí
匝,zā
匟,kàng
匠,jiàng
匠伯,jiàngbó
匡,kuāng
匡我不逮,kuāngwǒbùdài
匣,xiá
匣子,xiázi
匪,fěi
匭,guǐ
匯,huì
匯率,huìlǜ
匱,kuì
匴,suǎn
匸,xì
匹,pǐ
匹似閑,pīsìxián
匹力撲六,pīlìpūlù
匹如閑,pīrúxián
匹如閒,pīrúxián
匹撲,pīpū
匹角兒,pījiǎor
匹面,pīmiàn
匹頭,pǐtou
匹頭裡,pītóulǐ
匹馬不還,pīmǎbùhuán
匹馬單槍,pīmǎdānqiāng
匹馬單鎗,pīmǎdānqiāng
匹馬隻輪,pīmǎzhīlún
匼,ǎn
匽,yǎn
匾,biǎn
匾匾的,biǎnbiǎnde
匾扎,biǎnzhá
匾擔,biǎndan
匾窄,biǎnzhǎi
匾食,biǎnshi
匿,nì
區,qū
區脫,ōutuō
區蓋,ōugài
區處,qūchǔ
區間車,qūjiānchē
十,shí
十七帖,shíqītiè
十三經注疏,shísānjīngzhùshù
十三行,shísānháng
十三行遺址,shísānhángyízhǐ
十三轍,shísānzhé
十中八九,shízhòngbājiǔ
十個指頭咬著都痛,shígezhǐtouyǎozhedōutòng
十個指頭有長短,shígezhǐtouyǒuchángduǎn
十個指頭朝裡彎,shígezhǐtoucháolǐwān
十個明星當不的月,shígemíngxīngdāngbùdeyuè
十八的姑娘一朵花,shíbādegūniángyīduǒhuā
十四行詩,shísìhángshī
十姊妹,shízǐmèi　（語音）shíjiěmèi
十字鎬,shízìgǎo
十捉九著,shízhuōjiǔzháo
十目一行,shímùyīháng
十相具足,shíxiàngjùzú
十行俱下,shíhángjùxià
十載寒窗,shízǎihánchuāng
卂,xùn
千,qiān
千乘,qiānshèng
千乘萬騎,qiānshèngwànjì
千了百當,qiānliǎobǎidàng
千依百順,qiānyībǎishùn
千夫長,qiānfūzhǎng
千奇百怪,qiānqíbǎiguài
千妥萬當,qiāntuǒwàndàng
千嬌百媚,qiānjiāobǎimèi
千嬌百態,qiānjiāobǎitài
千孔百瘡,qiānkǒngbǎichuāng
千年田地八百主,qiānniántiándìbābǎizhǔ
千年萬載,qiānniánwànzǎi
千挑百選,qiāntiāobǎixuǎn
千方百計,qiānfāngbǎijì
千瘡百孔,qiānchuāngbǎikǒng
千百成群,qiānbǎichéngqún
千石,qiāndàn
千載,qiānzǎi
千載一合,qiānzǎiyīhé
千載一時,qiānzǎiyīshí
千載一會,qiānzǎiyīhuì
千載一逢,qiānzǎiyīféng
千載一遇,qiānzǎiyīyù
千載揚名,qiānzǎiyángmíng
千載獨步,qiānzǎidúbù
千載難逢,qiānzǎinánféng
千辛百苦,qiānxīnbǎikǔ
千迴百折,qiānhuíbǎizhé
千迴百轉,qiānhuíbǎizhuǎn
千錘百鍊,qiānchuíbǎiliàn
千頃陂,qiānqǐngpí
千頭百緒,qiāntóubǎixù
千鬼百怪,qiānguǐbǎiguài
卅,sà
升,shēng
午,wǔ
午炮,wǔpào
午覺,wǔjiào
卉,huì
半,bàn
半些兒,bàn　xiēr　(變)bàn　xiēr
半個,bànge
半個人,bàngerén
半刻工夫,bànkègōngfu
半包兒,bànbāor
半合兒,bànhér
半吊子,bàndiàozi
半大小子,bàndàxiǎozi
半導體,bàndǎotǐ
半導體記憶體,bàndǎotǐjìyìtǐ
半導體雷射,bàndǎotǐléishè
半師之分,bànshīzhīfèn
半彪子,bànbiāozi
半憨子,bànhānzi
半截漢子,bànjiéhànzi
半截門兒,bàn　jié　ménr　(變)bàn　jié　mér
半扎,bànzhá
半抄兒,bànchāor
半拆,bànchāi
半會,bànhuǐ
半朝鑾駕,bàncháoluánjià
半熟茶,bànshúchá
半生不熟,bànshēngbùshú
半生半熟,bànshēngbànshú
半瘋兒,bànfēngr
半癱兒,bàntānr(變)bàntār
半百,bànbǎi
半窄,bànzhǎi
半籃腳,bànlánjiǎo
半米兒,bàn　mǐr　(變)bàn　miěr
半語子,bànyǔzi
半身不遂,bànshēnbùsuí
半輩子,bànbèizi
半道兒,bàndàor
半道兒認姐姐,bàndàorrènjiějie
半部論語治天下,bànbùlúnyǔzhìtiānxià
半門子,bànménzi
半間不界,bànjiànbùjiè
半頓飯工夫,bàndùnfàngōngfu
卌,xì
卍,wàn
卑,bēi
卑怯,bēiquè
卑薄,bēibó
卒,zú
卒中,cùzhòng
卒乍,cùzhà
卒乘,zúshèng
卒倒,cùdǎo
卒卒,cùcù
卒子,zúzi
卒律律,cùlǜlǜ
卒然,cùrán
卓,zhuó
卓躒,zhuóluò
協,xié
協力車,xiélìchē
協奏曲,xiézòuqǔ
協定稅率,xiédìngshuìlǜ
南,nán
南來北往,nánláiběiwǎng
南北,nánběi
南北和議,nánběihéyì
南北學,nánběixué
南北宗,nánběizōng
南北戰爭,nánběizhànzhēng
南北書派,nánběishūpài
南北朝,nánběicháo
南北極,nánběijí
南北洋,nánběiyáng
南北睽違,nánběikuíwéi
南北貨,nánběihuò
南天北地,nántiānběidì
南帖,nántiè
南征北伐,nánzhēngběifá
南征北戰,nánzhēngběizhàn
南征北討,nánzhēngběitǎo
南曲,nánqǔ
南朝,náncháo
南枝北枝,nánzhīběizhī
南枝向火北枝寒,nánzhīxiànghuǒběizhīhán
南柯太守傳,nánkētàishǒuzhuàn
南梆子,nánbāngzi
南橘北枳,nánjúběizhǐ
南海子,nánhǎizi
南無,námó
南無佛,námófó
南無耶,námóyé
南燕,nányān
南班子,nánbānzi
南瓦子,nánwǎzi
南箕北斗,nánjībòdǒu
南能北秀,nánnéngběixiù
南腔北調,nánqiāngběidiào
南船北馬,nánchuánběimǎ
南蠻子,nánmánzi
南轅北轍,nányuánběichè
南阮北阮,nánruǎnběiruǎn
南面百城,nánmiànbóchéng
南面稱伯,nánmiànchēngbà
南鷂北鷹,nányàoběiyīng
博,bó
博古兒,bógǔr
博學洽聞,bóxuéqiàwén（又音）bóxuéxiáwén
博文反應系列,bówénfǎnyìngxìliè
博樂縣,bólèxiàn
博浪飛椎,bólàngfēichuí
博白縣,bóbáixiàn
博聞強識,bówénqiángzhì
博覽五車,bólǎnwǔjū
卜,bǔ
卜宅,bǔzhè
卜度,bǔduò
卞,biàn
占,zhān
占上,zhànshàng
占上游,zhànshàngyóu
占上風,zhànshàngfēng
占便宜,zhànpiányi
占地,zhàndì
占地步,zhàndìbù
占地盤,zhàndìpán
占場兒,zhànchángr
占強,zhànqiáng
占房,zhànfáng
占據,zhànjù
占有,zhànyǒu
占有權,zhànyǒuquán
占為己有,zhànwéijǐyǒu
占用,zhànyòng
占盡便宜,zhànjìnpiányi
占花魁,zhànhuākuí
占著茅坑不拉屎,zhànzhemáokēngbùlāshǐ
占領,zhànlǐng
占頭籌,zhàntóuchóu
占鰲頭,zhànáotóu
卡,kǎ
卡利撒,kǎlìsà
卡子,qiǎzi
卡脖子,qiǎbózi
卡車,kǎchē
卣,yǒu
卦,guà
卦攤兒,guàtānr(變)guàtār
卩,jié
卬,áng
卬首信眉,ángshǒushēnméi
卮,zhī
卯,mǎo
卯上,mǎoshang
卯勁,mǎojìn
卯酉參辰,mǎoyǒushēnchén
印,yìn
印人傳,yìnrénzhuàn
印子,yìnzi
印子錢,yìnziqián
印把子,yìnbàzi
印板兒,yìnbǎnr(變)yìnbǎr
印相,yìnxiàng
印相箱,yìnxiàngxiāng
印相紙,yìnxiàngzhǐ
印鋪,yìnpù
危,wéi
危行,wéixìng
危言危行,wéiyánwéixìng
危險分子,wéixiǎnfènzǐ
危難,wéinàn
卲,shào
即,jí
即早兒,jízǎor
即溜,jíliu
即興,jíxìng
即興表演,jíxìngbiǎoyǎn
卵,luǎn
卵巢癌,luǎncháoái
卵白,luǎnbái
卷,juàn
卷卷,juǎnjuǎn
卷土重來,juǎntǔchónglái
卷地皮,juǎndìpí
卷婁,quánlóu
卷子,juànzi
卷尾猴,juǎnwěihóu
卷層雲,juǎncéngyún
卷幘,juǎnzé
卷心菜,juǎnxīncài
卷懷,juǎnhuái
卷旗息鼓,juǎnqíxígǔ
卷曲,quánqū
卷柏,juǎnbó
卷棚,juǎnpéng
卷甲,juǎnjiǎ
卷積雲,juǎnjīyún
卷繖花序,juǎnsǎnhuāxù
卷耳,juǎněr
卷舌,juǎnshé
卷舒,juǎnshū
卷葉蛾,juǎnyèé
卷軸,juànzhóu
卷軸裝,juànzhóuzhuāng
卷阿,quánē
卷雲,juǎnyún
卷髮,quánfǎ
卷鬚,juǎnxū
卸,xiè
卸包袱,xièbāofu
卸擔子,xièdànzi
卸磨殺驢,xièmòshālǘ
卹,xù
卻,què
卻少,quèshào
卼,wù
卿,qīng
卿卿我我,qīngqīngwǒwǒ
厂,hǎn
厄,è
厄難,ènàn
厊,yǎ
厎,zhǐ
厏,zhǎ
厓,yái
厖,páng
厚,hòu
厚今薄古,hòujīnbógǔ
厚古薄今,hòugǔbójīn
厚實,hòushi
厚彼薄此,hòubǐbócǐ
厚此薄彼,hòucǐbóbǐ
厚薄,hòubó
厚誣,hòuwū
厚黑學,hòuhēixué
厜,chuí
厝,cuò
厞,fèi
原,yuán
原子量,yuánzǐliàng
厤,lì
厥,jué
厥角,juéjué
厭,yàn
厭厭,yānyān
厭惡,yànwù
厭氣,yànqi
厭煩,yànfan
厭薄,yànbó
厲,lì
厲害,lìhài(變)lìhai
厴,yǎn
厶,sī
厹,róu
厹矛,qiúmáo
去,qù
去就之分,qùjiùzhīfèn
去年,qùnian
去得,qùde
参,sān
參,cān
參假,cānjià
參商,shēnshāng
參將,cānjiàng
參差,cēncī
參差不齊,cēncībùqí
參度,cānduò
參朝,cāncháo
參校,cānjiào
參湯,shēntāng
參與,cānyù
參辰,shēnchén
參辰卯酉,shēnchénmǎoyǒu
參辰日月,shēnchénrìyuè
參錯,cēncuò
又,yòu
又弱一個,yòuruòyīge
叉,chā
叉劈,chǎpi
叉子,chāzi
叉灰泥,chǎhuīní
叉爬子,chāpázi
叉股子話,chāgǔzihuà
叉車,cháchē
叉門,chǎmén
叉麻雀,chāmáquè
及,jí
及冠,jíguàn
及時行樂,jíshíxínglè
友,yǒu
反,fǎn
反反,fànfàn
反坦克炮,fǎntǎnkèpào
反將計,fǎnjiàngjì
反巴掌,fǎnbāzhang
反彈,fǎntán
反彈琵琶,fǎntánpípa
反應,fǎnyìng
反撞力,fǎnzhuànglì
反文兒,fǎn　wénr　(變)fǎn　wér
反景,fǎnyǐng
反犬旁兒,fǎnquǎnpángr
反白,fǎnbái
反相,fǎnxiàng
反省,fǎnxǐng
反磕兒,fǎnkēr
反躬自省,fǎngōngzìxǐng
反軸心國,fǎnzhóuxīnguó
反輸一帖,fǎnshūyītiě
反間,fǎnjiàn
反間細作,fǎnjiànxìzuò
反間計,fǎnjiànjì
反間諜,fǎnjiàndié
叒,ruò
叔,shú
叔伯,shúbó
叔叔,shúshu
叔子,shúzi
叕,zhuó
取,qǔ
取應,qǔyìng
取樂,qǔlè
取燈兒,qǔdēngr
取青媲白,qǔqīngpìbó
受,shòu
受不了,shòubuliǎo
受不得,shòubude
受不起,shòubuqǐ
受創,shòuchuāng
受委屈,shòuwěiqu
受禪,shòushàn
受降,shòuxiáng
受降城,shòuxiángchéng
受難,shòunàn
受難曲,shòunànqǔ
受難節,shòunànjié
叛,pàn
叟,sǒu
叟兵,sōubīng
叟叟,sōusōu
叡,ruì
叢,cóng
叢帖,cóngtiè
叢薄,cóngbó
口,kǒu
